  0.14947379E-102 -0.14254949E+004  0.39491507E+003 -0.36856589E+003
  0.14947379E-102 -0.14302856E+004  0.40274286E+003 -0.36748953E+003
  0.14947379E-102 -0.14210237E+004  0.39465822E+003 -0.36940141E+003
  0.14947379E-102 -0.14319463E+004  0.40118636E+003 -0.37048307E+003
  0.14947379E-102 -0.14329543E+004  0.39723433E+003 -0.36832029E+003
  0.14947379E-102 -0.14345253E+004  0.40112054E+003 -0.36779280E+003
  0.14947379E-102 -0.14324657E+004  0.40206049E+003 -0.36948907E+003
  0.14947379E-102 -0.14311468E+004  0.39910450E+003 -0.36636017E+003
  0.14947379E-102 -0.14341124E+004  0.40051271E+003 -0.36818788E+003
  0.14947379E-102 -0.14341005E+004  0.39975068E+003 -0.36701422E+003
  0.14947379E-102 -0.14324690E+004  0.39986935E+003 -0.36929569E+003
  0.14947379E-102 -0.14332624E+004  0.40246304E+003 -0.36949321E+003
  0.14947379E-102 -0.14324046E+004  0.39832003E+003 -0.36622224E+003
